moisture Reading,Discount Factor
6,0
6.1,0.1
6.2,0.2
6.3,0.3
6.4,0.4
6.5,0.5
6.6,0.6
6.7,0.7
6.8,0.8
6.9,0.9
7,1
7.1,1.1
7.2,1.2
7.3,1.3
7.4,1.4
7.5,1.5
7.6,1.6
7.7,1.7
7.8,1.8
7.9,1.9
8,2
8.1,2.1
8.2,2.2
8.3,2.3
8.4,2.4
8.5,2.5
8.6,2.6
8.7,2.7
8.8,2.8
8.9,2.9
9,3
9.1,3.4
9.2,3.6
9.3,3.7
9.4,3.8
9.5,3.9
9.6,4
9.7,4.1
9.8,4.2
9.9,4.3
10,4.7
10.1,4.8
10.2,4.9
10.3,5
10.4,5.1
10.5,5.2
10.6,5.3
10.7,5.4
10.8,5.5
10.9,5.6
11,5.8
11.1,6
11.2,6.1
11.3,6.2
11.4,6.3
11.5,6.4
11.6,6.5
11.7,6.6
11.8,6.7
11.9,6.8
12,7.1
12.1,7.2
12.2,7.3
12.3,7.4
12.4,7.5
12.5,7.6
12.6,7.7
12.7,7.8
12.8,7.9
12.9,8
13,8.1
13.1,8.6
13.2,8.7
13.3,8.8
13.4,8.9
13.5,9.1
13.6,9.2
13.7,9.3
13.8,9.4
13.9,9.5
14,9.6
14.1,9.8
14.2,9.9
14.3,10
14.4,10.1
14.5,10.2
14.6,10.4
14.7,10.5
14.8,10.6
14.9,10.7
15,10.8
15.1,11.1
15.2,11.2
15.3,11.3
15.4,11.4
15.5,11.6
15.6,11.7
15.7,11.8
15.8,12.1
15.9,12.2
16,12.3
16.1,12.4
16.2,12.5
16.3,12.6
16.4,12.7
16.5,12.9
16.6,13
16.7,13.1
16.8,13.2
16.9,13.3
17,13.4
17.1,14
17.2,14.1
17.3,14.2
17.4,14.3
17.5,14.5
17.6,14.6
17.7,14.7
17.8,14.8
17.9,14.9
18,15
18.1,15.6
18.2,15.7
18.3,15.8
18.4,15.9
18.5,16
18.6,16.1
18.7,16.2
18.8,16.3
18.9,16.4
19,13
19.1,13.1
19.2,13.2
19.3,13.3
19.4,13.4
19.5,13.5
19.6,13.6
19.7,13.7
19.8,13.8
19.9,13.9
20,14
20.1,14.1
20.2,14.2
20.3,14.3
20.4,14.4
20.5,14.5
20.6,14.6
20.7,14.7
20.8,14.8
20.9,14.9
21,15
21.1,15.1
21.2,15.2
21.3,15.3
21.4,15.4
21.5,15.5
21.6,15.6
21.7,15.7
21.8,15.8
21.9,15.9
22,16
22.1,16.1
22.2,16.2
22.3,16.3
22.4,16.4
22.5,16.5
22.6,16.6
22.7,16.7
22.8,16.8
22.9,16.9
23,17
23.1,17.1
23.2,17.2
23.3,17.3
23.4,17.4
23.5,17.5
23.6,17.6
23.7,17.7
23.8,17.8
23.9,17.9
24,18
24.1,18.1
24.2,18.2
24.3,18.3
24.4,18.4
24.5,18.5
24.6,18.6
24.7,18.7
24.8,18.8
24.9,18.9
25,19
25.1,19.1
25.2,19.2
25.3,19.3
25.4,19.4
25.5,19.5
25.6,19.6
25.7,19.7
25.8,19.8
25.9,19.9
26,20
26.1,20.1
26.2,20.2
26.3,20.3
26.4,20.4
26.5,20.5
26.6,20.6
26.7,20.7
26.8,20.8
26.9,20.9
27,21
27.1,21.1
27.2,21.2
27.3,21.3
27.4,21.4
27.5,21.5
27.6,21.6
27.7,21.7
27.8,21.8
27.9,21.9
28,22
28.1,22.1
28.2,22.2
28.3,22.3
28.4,22.4
28.5,22.5
28.6,22.6
28.7,22.7
28.8,22.8
28.9,22.9
